Registrar Name,Registrar IANA ID,Registrar DUM,Phishing Attacks,Phishing Attack Score,Malicious Phishing Attacks,Malicious Phishing Attack Score,Phishing Domains,Phishing Domain Score,Malicious Phishing Domains,Malicious Phishing Domains Score
Domain Science Kutatási Szolgáltató Korlátolt Felelősségű Társaság,3882,345390,61,1.77,28,0.81,60,1.74,28,0.81
Global Domain Group LLC,3956,202903,27752,1367.75,25747,1268.93,14593,719.21,12901,635.82
Hongkong Kouming International Limited,3972,114332,74,6.47,63,5.51,64,5.6,53,4.64
"Nicnames, Inc.",4156,61163,779,127.36,718,117.39,526,86,471,77.01
NameMart Pte. Ltd.,4162,181936,5275,289.94,4916,270.2,3594,197.54,3264,179.4
"Xiamen 35.com Information Co., Ltd.",4163,160559,82,5.11,32,1.99,58,3.61,19,1.18
Unstoppable Domains Inc.,4326,756884,2603,34.39,1588,20.98,2549,33.68,1562,20.64
"Ultahost, Inc.",4331,35938,5523,1536.81,3550,987.81,4810,1338.42,2899,806.67
Devexpanse Ltd,4342,35940,406,112.97,280,77.91,403,112.13,278,77.35
Reserved for non-billable transactions where Registry Operator acts as Registrar,9999,293669,365,12.43,152,5.18,271,9.23,122,4.15
