TLD,TLD DUM,Phishing Attacks,Phishing Attack Score,Malicious Phishing Attacks,Malicious Phishing Attack Score,Phishing Domains,Phishing Domain Score,Malicious Phishing Domains,Malicious Phishing Domains Score,Top Registrar (ID),Top Registrar,Registrar's Phishing Domains,Registrar's Phishing Domains (%),Registrar's Malicious Phishing Domains,Registrar's Malicious Phishing Domains (%)
digital,327844,3171,96.72,2519,76.84,2891,88.18,2282,69.61,609,"Sav.com, LLC",610,21%,501,22%
dk,1295671,45,0.35,14,0.11,40,0.31,14,0.11,,,,,
do,41752,32,7.66,8,1.92,25,5.99,8,1.92,,,,,
email,122594,129,10.52,76,6.20,119,9.71,69,5.63,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",23,19%,13,19%
es,2159992,537,2.49,294,1.36,452,2.09,258,1.19,,,,,
eu,3694341,545,1.48,176,0.48,401,1.09,143,0.39,,"Namecheap, Inc",71,18%,,
fi,563938,159,2.82,41,0.73,151,2.68,39,0.69,,,,,
finance,33120,364,109.90,249,75.18,352,106.28,237,71.56,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",229,65%,183,77%
fit,68244,2028,297.17,1881,275.63,1338,196.06,1230,180.24,1556,"Chengdu West Dimension Digital Technology Co., Ltd.",775,58%,703,57%
forum,62560,464,74.17,450,71.93,221,35.33,208,33.25,472,"Dynadot Inc",109,49%,108,52%
foundation,31159,61,19.58,41,13.16,61,19.58,41,13.16,460,"Web Commerce Communications Limited dba WebNic.cc",38,62%,24,59%
fr,4389755,683,1.56,280,0.64,552,1.26,247,0.56,433,"OVH sas",92,17%,40,16%
fun,373212,1370,36.71,1096,29.37,1256,33.65,1000,26.79,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",335,27%,268,27%
fyi,65414,2400,366.89,2389,365.21,1226,187.42,1216,185.89,617,"Epik LLC",884,72%,884,73%
games,65530,109,16.63,81,12.36,106,16.18,79,12.06,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",64,60%,56,71%
garden,65955,10561,1601.24,10547,1599.12,10332,1566.52,10318,1564.40,3862,"Spaceship, Inc.",10068,97%,10064,98%
ge,64428,50,7.76,16,2.48,27,4.19,5,0.78,,,,,
global,66723,31,4.65,20,3.00,30,4.50,20,3.00,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",14,47%,14,70%
gr,539146,80,1.48,12,0.22,52,0.96,9,0.17,,,,,
group,119874,156,13.01,124,10.34,144,12.01,114,9.51,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",63,44%,55,48%
guru,55450,510,91.97,375,67.63,253,45.63,222,40.04,472,"Dynadot Inc",130,51%,130,59%
hair,51768,513,99.10,449,86.73,408,78.81,350,67.61,1479,"NameSilo, LLC",162,40%,138,39%
help,176801,10559,597.23,9887,559.22,5918,334.73,5284,298.87,1479,"NameSilo, LLC",3496,59%,3165,60%
hk,236402,119,5.03,31,1.31,114,4.82,29,1.23,,"NICENIC INTERNATIONAL GROUP CO., LTD",68,60%,,
homes,83487,1600,191.65,1536,183.98,1445,173.08,1383,165.65,1449,"URL Solutions, Inc.",663,46%,663,48%
hu,903601,47,0.52,13,0.14,39,0.43,12,0.13,,,,,
icu,465381,18479,397.07,16456,353.60,14196,305.04,12464,267.82,1923,"Gname.com Pte. Ltd.",5768,41%,5370,43%
id,1012666,1678,16.57,789,7.79,1057,10.44,541,5.34,1,"Reserved",1053,100%,540,100%
ie,329712,38,1.15,9,0.27,37,1.12,9,0.27,,,,,
im,66524,550,82.68,237,35.63,463,69.60,186,27.96,,,,,
in,3399185,1089,3.20,322,0.95,824,2.42,290,0.85,146,"GoDaddy.com, LLC",289,35%,80,28%
info,5250592,20399,38.85,17143,32.65,18853,35.91,15857,30.20,472,"Dynadot Inc",3934,21%,3760,24%
